Processed,ID,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body,Highest Alert,Note,Tags
Processed,419,Wed Oct 29 00:14:18 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-bundle.js,200,,41,314,1418005,High,false,
Processed,420,Wed Oct 29 00:14:18 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/favicon-16x16.png,200,,4,304,665,Low,false,
Processed,421,Wed Oct 29 00:14:18 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs/swagger-config,200,,7,154,169,Low,false,JSON
Processed,422,Wed Oct 29 00:14:18 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,9,156,16054,Low,false,
Processed,423,Wed Oct 29 00:14:20 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,45,156,16054,Low,false,
Processed,424,Wed Oct 29 00:14:20 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,6,156,16054,Low,false,
Processed,425,Wed Oct 29 00:14:20 UTC 2025,GET,http://host.docker.internal:8081/favicon.ico,404,,8,243,100,,false,
Out of Scope,426,Wed Oct 29 00:14:21 UTC 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Processed,427,Wed Oct 29 00:14:22 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,20,156,16054,Low,false,
Processed,428,Wed Oct 29 00:14:22 UTC 2025,GET,http://host.docker.internal:8081/favicon.ico,404,,5,243,100,,false,
Out of Scope,429,Wed Oct 29 00:14:24 UTC 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Processed,430,Wed Oct 29 00:14:24 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,13,156,16054,Low,false,
Processed,431,Wed Oct 29 00:14:24 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,9,156,16054,Low,false,
Out of Scope,432,Wed Oct 29 00:14:25 UTC 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,433,Wed Oct 29 00:14:27 UTC 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Processed,434,Wed Oct 29 00:14:28 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,29,156,16054,Low,false,
Processed,435,Wed Oct 29 00:14:28 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,8,156,16054,Low,false,
Out of Scope,436,Wed Oct 29 00:14:28 UTC 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,437,Wed Oct 29 00:14:30 UTC 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Processed,438,Wed Oct 29 00:14:31 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,19,156,16054,Low,false,
Processed,439,Wed Oct 29 00:14:32 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,10,156,16054,Low,false,
Processed,440,Wed Oct 29 00:14:32 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,7,156,16054,Low,false,
Out of Scope,441,Wed Oct 29 00:14:32 UTC 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,442,Wed Oct 29 00:14:35 UTC 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,443,Wed Oct 29 00:14:38 UTC 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Processed,444,Wed Oct 29 00:14:39 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,26,156,16054,Low,false,
Processed,445,Wed Oct 29 00:14:39 UTC 2025,GET,http://host.docker.internal:8081/favicon.ico,404,,9,243,100,,false,
Out of Scope,446,Wed Oct 29 00:14:42 UTC 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Processed,447,Wed Oct 29 00:14:45 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,33,156,16054,Low,false,
Out of Scope,448,Wed Oct 29 00:14:45 UTC 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Processed,449,Wed Oct 29 00:14:50 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,20,156,16054,Low,false,
Processed,450,Wed Oct 29 00:14:50 UTC 2025,GET,http://host.docker.internal:8081/favicon.ico,404,,12,243,100,,false,
