ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
483,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,POST,http://host.docker.internal:8081/swagger-ui/swagger-ui-bundle.js?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,,5,257,129
485,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,POST,http://host.docker.internal:8081/swagger-ui/index.html?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,,4,257,119
484,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,POST,http://host.docker.internal:8081/swagger-ui/favicon-32x32.png?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,,5,213,126
486,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,5,194,99
487,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,4,194,99
488,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,4,194,99
489,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,3,194,99
490,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,3,194,99
491,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/favicon-16x16.png,200,,5,304,665
492,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.css,200,,4,303,202
493,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/favicon-32x32.png,200,,3,256,628
494,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,5,194,99
495,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-initializer.js,200,,5,335,612
496,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.html,200,,5,304,734
497,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-standalone-preset.js,200,,7,313,230777
498,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui.css,200,,5,306,152059
499,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-bundle.js,200,,14,314,1418005
500,Wed Oct 29 00:15:12 UTC 2025,Wed Oct 29 00:15:12 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,2,194,99
501,Wed Oct 29 00:15:12 UTC 2025,Wed Oct 29 00:15:12 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,4,194,99
502,Wed Oct 29 00:15:12 UTC 2025,Wed Oct 29 00:15:12 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,3,194,99
503,Wed Oct 29 00:15:12 UTC 2025,Wed Oct 29 00:15:12 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,3,194,99
504,Wed Oct 29 00:15:12 UTC 2025,Wed Oct 29 00:15:12 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,3,194,99
505,Wed Oct 29 00:15:12 UTC 2025,Wed Oct 29 00:15:12 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,4,194,99
506,Wed Oct 29 00:15:12 UTC 2025,Wed Oct 29 00:15:12 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,4,194,99
507,Wed Oct 29 00:15:12 UTC 2025,Wed Oct 29 00:15:12 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,4,194,99
508,Wed Oct 29 00:15:13 UTC 2025,Wed Oct 29 00:15:13 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/favicon-16x16.png,200,,8,304,665
509,Wed Oct 29 00:15:13 UTC 2025,Wed Oct 29 00:15:13 UTC 2025,GET,http://host.docker.internal:8081/favicon.ico,404,,6,243,100
510,Wed Oct 29 00:15:14 UTC 2025,Wed Oct 29 00:15:14 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/favicon-16x16.png?name=abc,200,,14,304,665
511,Wed Oct 29 00:15:14 UTC 2025,Wed Oct 29 00:15:14 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/favicon-32x32.png,200,,8,304,628
512,Wed Oct 29 00:15:14 UTC 2025,Wed Oct 29 00:15:14 UTC 2025,GET,http://host.docker.internal:8081/favicon.ico,404,,6,243,100
